Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
47-2044,Tile and Marble Setters,detail,"38,820",3.8%,0.272,$20.04,$22.30,"$46,370",2.0%
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,"181,270",1.6%,1.272,$19.54,$21.87,"$45,490",0.7%
47-2051,Cement Masons and Concrete Finishers,detail,"178,640",1.6%,1.253,$19.54,$21.87,"$45,490",0.7%
47-2053,Terrazzo Workers and Finishers,detail,"2,630",12.3%,0.018,$19.51,$21.89,"$45,520",3.8%
47-2061,Construction Laborers,detail,"962,060",0.7%,6.749,$16.60,$18.70,"$38,890",0.3%
47-2070,Construction Equipment Operators,broad,"418,760",0.8%,2.938,$22.15,$24.54,"$51,050",0.3%
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detail,"49,760",2.8%,0.349,$18.81,$21.10,"$43,890",1.3%
47-2072,Pile-Driver Operators,detail,"3,710",7.5%,0.026,$27.72,$30.66,"$63,770",3.0%
47-2073,Operating Engineers and Other Construction Equipment Operators,detail,"365,300",0.8%,2.563,$22.61,$24.95,"$51,890",0.3%
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,"114,630",2.3%,0.804,$21.14,$24.15,"$50,240",1.3%
47-2081,Drywall and Ceiling Tile Installers,detail,"96,550",2.4%,0.677,$20.60,$23.68,"$49,250",1.4%
47-2082,Tapers,detail,"18,080",4.5%,0.127,$24.82,$26.70,"$55,540",1.6%
47-2111,Electricians,detail,"631,080",0.8%,4.427,$26.01,$27.84,"$57,910",0.5%
47-2121,Glaziers,detail,"47,330",3.4%,0.332,$20.47,$22.83,"$47,480",1.2%
47-2130,Insulation Workers,broad,"55,930",3.1%,0.392,$19.20,$21.68,"$45,090",1.1%
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detail,"31,100",4.3%,0.218,$17.81,$19.52,"$40,600",1.2%
47-2132,"Insulation Workers, Mechanical",detail,"24,840",4.7%,0.174,$21.90,$24.38,"$50,710",1.7%
47-2140,Painters and Paperhangers,broad,"224,050",1.2%,1.572,$18.24,$20.11,"$41,830",0.7%
47-2141,"Painters, Construction and Maintenance",detail,"221,340",1.2%,1.553,$18.25,$20.12,"$41,840",0.7%
47-2142,Paperhangers,detail,"2,710",14.2%,0.019,$17.80,$19.68,"$40,930",4.3%
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,"466,950",1.1%,3.276,$24.72,$26.89,"$55,920",0.5%
47-2151,Pipelayers,detail,"38,690",2.7%,0.271,$18.46,$20.77,"$43,210",1.0%
47-2152,"Plumbers, Pipefitters, and Steamfitters",detail,"428,260",1.2%,3.004,$25.28,$27.44,"$57,070",0.6%
47-2161,Plasterers and Stucco Masons,detail,"24,180",5.1%,0.170,$19.59,$21.83,"$45,410",1.5%
47-2171,Reinforcing Iron and Rebar Workers,detail,"18,480",5.5%,0.130,$22.52,$26.09,"$54,270",2.0%
47-2181,Roofers,detail,"121,170",1.8%,0.850,$18.74,$20.57,"$42,780",0.9%
47-2211,Sheet Metal Workers,detail,"132,920",2.1%,0.932,$23.07,$25.05,"$52,100",1.0%
47-2221,Structural Iron and Steel Workers,detail,"74,420",2.7%,0.522,$25.30,$27.37,"$56,940",1.1%
47-2231,Solar Photovoltaic Installers,detail,"9,000",10.6%,0.063,$18.98,$20.68,"$43,010",1.8%
47-3010,"Helpers, Construction Trades",broad,"229,470",1.4%,1.610,$14.48,$15.38,"$31,980",0.4%
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detail,"24,660",3.6%,0.173,$15.25,$16.84,"$35,020",1.2%
47-3012,Helpers--Carpenters,detail,"33,740",2.9%,0.237,$14.35,$14.95,"$31,100",0.8%
47-3013,Helpers--Electricians,detail,"72,580",2.7%,0.509,$14.68,$15.40,"$32,040",0.7%
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detail,"11,000",7.4%,0.077,$13.83,$14.70,"$30,570",1.5%
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detail,"54,790",2.9%,0.384,$14.37,$15.31,"$31,830",0.8%
47-3016,Helpers--Roofers,detail,"9,550",6.4%,0.067,$13.70,$14.28,"$29,710",1.5%
47-3019,"Helpers, Construction Trades, All Other",detail,"23,140",3.7%,0.162,$14.26,$15.30,"$31,830",1.2%
47-4000,Other Construction and Related Workers,minor,"410,610",0.8%,2.880,$21.20,$23.52,"$48,920",0.4%
47-4011,Construction and Building Inspectors,detail,"98,810",1.3%,0.693,$28.41,$29.82,"$62,020",0.5%
47-4021,Elevator Installers and Repairers,detail,"24,490",4.3%,0.172,$38.21,$37.08,"$77,130",1.3%
47-4031,Fence Erectors,detail,"21,430",5.3%,0.150,$16.02,$17.43,"$36,260",1.6%
47-4041,Hazardous Materials Removal Workers,detail,"43,260",2.7%,0.303,$19.91,$22.27,"$46,330",1.1%
47-4051,Highway Maintenance Workers,detail,"146,580",1.0%,1.028,$18.61,$19.38,"$40,300",0.3%
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detail,"15,070",4.7%,0.106,$26.95,$27.10,"$56,360",3.8%
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detail,"26,250",3.1%,0.184,$18.25,$19.52,"$40,590",0.9%
47-4090,Miscellaneous Construction and Related Workers,broad,"34,720",4.3%,0.244,$18.29,$20.30,"$42,220",1.9%
47-5000,Extraction Workers,minor,"183,900",1.6%,1.290,$21.19,$22.83,"$47,480",0.6%
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",broad,"64,240",2.4%,0.451,$23.56,$25.56,"$53,170",1.0%
47-5011,"Derrick Operators, Oil and Gas",detail,"9,590",6.3%,0.067,$22.18,$22.84,"$47,510",1.0%
47-5012,"Rotary Drill Operators, Oil and Gas",detail,"15,370",4.9%,0.108,$25.95,$27.01,"$56,180",1.3%
47-5013,"Service Unit Operators, Oil, Gas, and Mining",detail,"39,270",3.1%,0.276,$23.21,$25.66,"$53,370",1.6%
47-5021,"Earth Drillers, Except Oil and Gas",detail,"17,470",3.9%,0.123,$21.08,$22.83,"$47,480",1.1%
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detail,"5,850",6.2%,0.041,$23.87,$25.38,"$52,790",2.2%
47-5040,Mining Machine Operators,broad,"20,240",5.3%,0.142,$25.58,$25.82,"$53,710",1.4%
47-5041,Continuous Mining Machine Operators,detail,"12,000",7.4%,0.084,$26.26,$26.46,"$55,040",1.4%
47-5042,Mine Cutting and Channeling Machine Operators,detail,"5,400",9.4%,0.038,$25.13,$25.17,"$52,360",3.0%
47-5049,"Mining Machine Operators, All Other",detail,"2,840",12.9%,0.020,$23.49,$24.36,"$50,670",2.7%
47-5051,"Rock Splitters, Quarry",detail,"4,310",6.3%,0.030,$16.51,$17.33,"$36,050",1.9%
47-5061,"Roof Bolters, Mining",detail,"3,410",11.3%,0.024,$28.10,$28.52,"$59,310",1.6%
47-5071,"Roustabouts, Oil and Gas",detail,"48,140",4.1%,0.338,$17.77,$19.16,"$39,850",0.8%
47-5081,Helpers--Extraction Workers,detail,"15,280",4.6%,0.107,$17.17,$17.73,"$36,870",0.9%
47-5099,"Extraction Workers, All Other",detail,"4,970",8.0%,0.035,$23.67,$24.37,"$50,690",2.5%
49-0000,"Installation, Maintenance, and Repair Occupations",major,"5,528,390",0.3%,38.782,$21.40,$23.02,"$47,870",0.1%
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,"460,370",0.5%,3.230,$31.15,$32.75,"$68,120",0.2%
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"593,710",0.8%,4.165,$23.81,$25.00,"$52,010",0.3%
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detail,"100,580",1.9%,0.706,$18.13,$19.30,"$40,140",0.6%
49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad,"249,000",1.3%,1.747,$25.76,$26.52,"$55,160",0.4%
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detail,"15,310",5.5%,0.107,$26.92,$27.43,"$57,050",1.3%
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detail,"233,690",1.4%,1.639,$25.67,$26.46,"$55,030",0.5%
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"244,120",1.3%,1.713,$24.82,$25.81,"$53,680",0.5%
49-2091,Avionics Technicians,detail,"18,620",3.2%,0.131,$30.12,$30.60,"$63,650",1.6%
49-2092,"Electric Motor, Power Tool, and Related Repairers",detail,"17,220",4.2%,0.121,$20.47,$22.23,"$46,230",1.9%
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detail,"12,310",5.9%,0.086,$29.25,$29.82,"$62,030",1.5%
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detail,"64,380",1.7%,0.452,$27.49,$28.00,"$58,250",0.5%
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detail,"24,430",3.0%,0.171,$37.70,$37.39,"$77,770",0.7%
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detail,"11,520",7.1%,0.081,$16.60,$17.33,"$36,050",1.7%
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detail,"25,810",5.0%,0.181,$17.88,$18.74,"$38,980",1.8%
49-2098,Security and Fire Alarm Systems Installers,detail,"69,830",2.8%,0.490,$21.96,$22.64,"$47,100",0.7%
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"1,596,660",0.4%,11.201,$20.25,$21.62,"$44,970",0.3%
49-3011,Aircraft Mechanics and Service Technicians,detail,"131,500",2.1%,0.922,$29.34,$30.07,"$62,540",0.9%
49-3020,Automotive Technicians and Repairers,broad,"804,200",0.6%,5.642,$19.12,$20.68,"$43,020",0.3%
49-3021,Automotive Body and Related Repairers,detail,"144,320",1.4%,1.012,$20.18,$21.94,"$45,630",0.6%
49-3022,Automotive Glass Installers and Repairers,detail,"20,190",7.1%,0.142,$16.43,$17.23,"$35,830",1.3%
49-3023,Automotive Service Technicians and Mechanics,detail,"639,700",0.7%,4.488,$19.02,$20.51,"$42,660",0.3%
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detail,"260,380",1.1%,1.827,$22.29,$23.08,"$48,000",0.3%
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"190,100",1.1%,1.334,$23.77,$24.42,"$50,800",0.4%
49-3041,Farm Equipment Mechanics and Service Technicians,detail,"34,410",2.2%,0.241,$18.91,$19.65,"$40,880",0.6%
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detail,"131,590",1.3%,0.923,$24.45,$25.18,"$52,370",0.4%
49-3043,Rail Car Repairers,detail,"24,090",3.9%,0.169,$27.62,$27.11,"$56,380",1.9%
49-3050,Small Engine Mechanics,broad,"68,300",1.8%,0.479,$17.30,$18.36,"$38,190",0.5%
49-3051,Motorboat Mechanics and Service Technicians,detail,"21,160",3.7%,0.148,$18.73,$19.88,"$41,350",1.1%
49-3052,Motorcycle Mechanics,detail,"15,850",4.1%,0.111,$17.15,$18.40,"$38,270",1.0%
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detail,"31,300",2.7%,0.220,$16.53,$17.32,"$36,020",0.7%
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"142,190",1.9%,0.997,$13.31,$14.28,"$29,700",0.6%
49-3091,Bicycle Repairers,detail,"12,720",6.6%,0.089,$13.65,$14.12,"$29,370",1.6%
49-3092,Recreational Vehicle Service Technicians,detail,"14,780",4.6%,0.104,$17.89,$18.83,"$39,160",1.0%
49-3093,Tire Repairers and Changers,detail,"114,690",2.1%,0.805,$12.84,$13.71,"$28,510",0.7%
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"2,877,650",0.3%,20.187,$20.20,$21.82,"$45,390",0.2%
49-9010,Control and Valve Installers and Repairers,broad,"68,700",2.5%,0.482,$23.57,$25.34,"$52,710",0.9%
49-9011,Mechanical Door Repairers,detail,"21,010",5.7%,0.147,$19.00,$19.93,"$41,460",1.0%
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detail,"47,700",2.6%,0.335,$26.85,$27.72,"$57,660",0.9%
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detail,"307,060",1.3%,2.154,$22.64,$23.81,"$49,530",0.5%
49-9031,Home Appliance Repairers,detail,"32,250",3.9%,0.226,$18.35,$19.61,"$40,790",1.1%
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"467,450",0.7%,3.279,$24.25,$25.12,"$52,250",0.2%
49-9041,Industrial Machinery Mechanics,detail,"341,260",0.9%,2.394,$24.69,$25.54,"$53,110",0.3%
49-9043,"Maintenance Workers, Machinery",detail,"83,520",1.5%,0.586,$21.89,$22.71,"$47,240",0.5%
49-9044,Millwrights,detail,"41,360",2.6%,0.290,$25.95,$26.58,"$55,290",0.8%
49-9045,"Refractory Materials Repairers, Except Brickmasons",detail,"1,310",9.2%,0.009,$23.35,$24.08,"$50,080",2.5%
49-9050,Line Installers and Repairers,broad,"223,740",1.5%,1.570,$30.86,$30.19,"$62,790",0.5%
49-9051,Electrical Power-Line Installers and Repairers,detail,"116,650",2.0%,0.818,$33.36,$33.04,"$68,710",0.6%
49-9052,Telecommunications Line Installers and Repairers,detail,"107,090",2.3%,0.751,$26.47,$27.09,"$56,340",0.8%
49-9060,Precision Instrument and Equipment Repairers,broad,"69,700",2.0%,0.489,$23.04,$24.41,"$50,760",0.6%
49-9061,Camera and Photographic Equipment Repairers,detail,"3,650",11.2%,0.026,$19.60,$20.44,"$42,510",2.7%
49-9062,Medical Equipment Repairers,detail,"43,670",2.4%,0.306,$23.47,$25.13,"$52,260",0.7%
49-9063,Musical Instrument Repairers and Tuners,detail,"8,240",7.2%,0.058,$17.56,$18.77,"$39,040",2.3%
49-9064,Watch Repairers,detail,"2,130",10.4%,0.015,$17.20,$19.01,"$39,530",3.5%
49-9069,"Precision Instrument and Equipment Repairers, All Other",detail,"12,010",4.1%,0.084,$27.37,$27.81,"$57,850",1.2%
49-9071,"Maintenance and Repair Workers, General",detail,"1,351,210",0.4%,9.479,$18.11,$19.37,"$40,280",0.2%
49-9081,Wind Turbine Service Technicians,detail,"4,390",12.0%,0.031,$25.91,$27.25,"$56,680",1.7%
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,"353,160",1.3%,2.477,$16.93,$18.76,"$39,020",0.4%
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detail,"34,010",2.9%,0.239,$16.20,$16.97,"$35,290",1.2%
49-9092,Commercial Divers,detail,"3,280",9.1%,0.023,$22.70,$26.57,"$55,270",2.9%
49-9093,"Fabric Menders, Except Garment",detail,390,14.5%,0.003,$13.77,$14.20,"$29,530",2.2%
49-9094,Locksmiths and Safe Repairers,detail,"17,500",4.3%,0.123,$19.56,$20.54,"$42,730",1.3%
49-9095,Manufactured Building and Mobile Home Installers,detail,"2,750",9.5%,0.019,$14.88,$15.29,"$31,810",1.5%
49-9096,Riggers,detail,"21,000",5.2%,0.147,$23.36,$24.17,"$50,270",1.4%
49-9097,Signal and Track Switch Repairers,detail,"8,300",8.2%,0.058,$32.88,$31.61,"$65,750",2.1%
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detail,"112,080",1.6%,0.786,$13.70,$14.63,"$30,430",0.4%
49-9099,"Installation, Maintenance, and Repair Workers, All Other",detail,"153,850",2.4%,1.079,$18.65,$20.43,"$42,500",0.6%
51-0000,Production Occupations,major,"9,024,560",0.3%,63.308,$16.34,$18.30,"$38,070",0.2%
51-1011,First-Line Supervisors of Production and Operating Workers,detail,"611,800",0.4%,4.292,$28.31,$30.13,"$62,660",0.2%
51-2000,Assemblers and Fabricators,minor,"1,759,720",0.7%,12.345,$15.31,$16.62,"$34,560",0.5%
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detail,"41,130",6.2%,0.289,$25.73,$26.64,"$55,400",2.2%
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",broad,"276,340",1.6%,1.939,$15.66,$16.78,"$34,910",0.5%
51-2021,"Coil Winders, Tapers, and Finishers",detail,"13,300",5.7%,0.093,$16.01,$16.86,"$35,080",1.2%
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detail,"263,040",1.6%,1.845,$15.64,$16.78,"$34,900",0.5%
51-2031,Engine and Other Machine Assemblers,detail,"37,770",3.7%,0.265,$20.86,$21.40,"$44,520",2.1%
51-2041,Structural Metal Fabricators and Fitters,detail,"77,600",2.0%,0.544,$18.49,$19.47,"$40,490",0.7%
51-2090,Miscellaneous Assemblers and Fabricators,broad,"1,326,870",0.9%,9.308,$14.77,$15.97,"$33,210",0.6%
51-2091,Fiberglass Laminators and Fabricators,detail,"20,040",4.2%,0.141,$15.52,$16.81,"$34,960",1.4%
51-2093,Timing Device Assemblers and Adjusters,detail,680,18.0%,0.005,$16.73,$17.94,"$37,310",3.9%
51-2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",detail,"1,306,150",0.9%,9.163,$14.75,$15.95,"$33,180",0.6%
51-3000,Food Processing Workers,minor,"795,240",1.1%,5.579,$13.00,$13.98,"$29,070",0.3%
51-3011,Bakers,detail,"182,890",1.5%,1.283,$12.35,$13.42,"$27,920",0.5%
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,"362,380",1.8%,2.542,$13.14,$13.92,"$28,960",0.5%
51-3021,Butchers and Meat Cutters,detail,"131,530",1.8%,0.923,$14.85,$15.66,"$32,570",0.5%
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detail,"153,280",2.8%,1.075,$12.14,$12.71,"$26,430",0.9%
51-3023,Slaughterers and Meat Packers,detail,"77,570",5.2%,0.544,$13.23,$13.38,"$27,830",0.9%
51-3090,Miscellaneous Food Processing Workers,broad,"249,970",1.6%,1.754,$13.29,$14.46,"$30,080",0.5%
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detail,"21,130",3.3%,0.148,$14.14,$15.23,"$31,680",1.5%
51-3092,Food Batchmakers,detail,"151,950",2.2%,1.066,$13.70,$14.85,"$30,880",0.7%
51-3093,Food Cooking Machine Operators and Tenders,detail,"33,340",4.3%,0.234,$13.66,$14.54,"$30,240",1.2%
51-3099,"Food Processing Workers, All Other",detail,"43,540",4.0%,0.305,$11.76,$12.69,"$26,390",0.8%
51-4000,Metal Workers and Plastic Workers,minor,"1,895,150",0.5%,13.295,$18.37,$19.54,"$40,650",0.2%
51-4010,Computer Control Programmers and Operators,broad,"168,450",1.4%,1.182,$19.56,$20.72,"$43,100",0.5%
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detail,"144,660",1.5%,1.015,$18.86,$19.72,"$41,010",0.5%
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detail,"23,790",2.4%,0.167,$25.26,$26.81,"$55,770",0.7%
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"117,450",2.0%,0.824,$17.26,$18.05,"$37,540",0.8%
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"73,530",2.5%,0.516,$16.63,$17.33,"$36,050",0.7%
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"18,300",3.7%,0.128,$18.58,$19.39,"$40,340",3.2%
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"25,610",4.5%,0.180,$18.20,$19.15,"$39,840",1.1%
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,"321,590",1.2%,2.256,$16.46,$17.37,"$36,140",0.4%
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"188,520",1.6%,1.323,$15.90,$16.72,"$34,770",0.6%
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"11,030",4.8%,0.077,$17.92,$19.65,"$40,870",1.5%
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"74,600",2.0%,0.523,$16.10,$17.08,"$35,520",0.7%
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"29,620",3.6%,0.208,$18.55,$19.38,"$40,310",0.7%
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"17,820",7.2%,0.125,$20.51,$20.83,"$43,330",1.4%
51-4041,Machinists,detail,"378,320",0.9%,2.654,$20.48,$21.23,"$44,160",0.3%
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"25,210",3.7%,0.177,$19.35,$19.81,"$41,210",1.1%
51-4051,Metal-Refining Furnace Operators and Tenders,detail,"17,610",3.9%,0.124,$19.85,$20.08,"$41,770",1.5%
51-4052,"Pourers and Casters, Metal",detail,"7,600",6.0%,0.053,$18.37,$19.20,"$39,930",1.3%
51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,"9,010",4.8%,0.063,$24.22,$24.83,"$51,650",1.4%
51-4061,"Model Makers, Metal and Plastic",detail,"5,820",6.7%,0.041,$25.80,$26.35,"$54,820",1.7%
51-4062,"Patternmakers, Metal and Plastic",detail,"3,200",5.6%,0.022,$21.65,$22.06,"$45,880",1.7%
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"168,820",1.7%,1.184,$15.10,$16.25,"$33,810",0.5%
51-4071,Foundry Mold and Coremakers,detail,"13,960",4.4%,0.098,$16.90,$17.52,"$36,440",1.0%
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"154,860",1.8%,1.086,$14.95,$16.14,"$33,570",0.5%
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"121,160",1.9%,0.850,$16.73,$17.62,"$36,650",0.8%
51-4111,Tool and Die Makers,detail,"73,510",2.0%,0.516,$25.23,$25.60,"$53,260",0.8%
51-4120,"Welding, Soldering, and Brazing Workers",broad,"416,000",0.9%,2.918,$19.19,$20.67,"$42,980",0.3%
51-4121,"Welders, Cutters, Solderers, and Brazers",detail,"377,250",0.9%,2.646,$19.35,$20.87,"$43,410",0.3%
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detail,"38,750",2.7%,0.272,$17.88,$18.69,"$38,880",0.9%
51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,"95,620",1.9%,0.671,$17.01,$18.02,"$37,490",0.7%
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detail,"19,340",3.6%,0.136,$17.93,$18.62,"$38,720",0.8%
51-4192,"Layout Workers, Metal and Plastic",detail,"8,550",3.7%,0.060,$22.26,$22.54,"$46,890",1.6%
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"37,200",3.2%,0.261,$15.35,$16.55,"$34,430",0.9%
51-4194,"Tool Grinders, Filers, and Sharpeners",detail,"8,060",4.4%,0.057,$17.50,$18.65,"$38,800",1.3%
51-4199,"Metal Workers and Plastic Workers, All Other",detail,"22,470",4.9%,0.158,$17.22,$18.00,"$37,440",1.5%
51-5110,Printing Workers,broad,"251,310",1.1%,1.763,$17.09,$18.08,"$37,610",0.4%
51-5111,Prepress Technicians and Workers,detail,"31,500",2.3%,0.221,$19.19,$20.08,"$41,770",0.8%
51-5112,Printing Press Operators,detail,"171,130",1.2%,1.200,$17.19,$18.20,"$37,860",0.5%
51-5113,Print Binding and Finishing Workers,detail,"48,680",2.9%,0.341,$15.40,$16.36,"$34,040",0.7%
51-6000,"Textile, Apparel, and Furnishings Workers",minor,"572,630",0.9%,4.017,$11.72,$12.89,"$26,810",0.3%
51-6011,Laundry and Dry-Cleaning Workers,detail,"209,350",1.2%,1.469,$10.75,$11.43,"$23,770",0.4%
51-6021,"Pressers, Textile, Garment, and Related Materials",detail,"42,830",3.0%,0.300,$10.79,$11.09,"$23,080",0.6%
51-6031,Sewing Machine Operators,detail,"136,530",1.9%,0.958,$11.69,$12.62,"$26,250",0.5%
51-6040,Shoe and Leather Workers,broad,"10,680",7.6%,0.075,$12.62,$13.24,"$27,540",1.5%
51-6041,Shoe and Leather Workers and Repairers,detail,"7,180",7.7%,0.050,$12.31,$13.25,"$27,550",2.0%
51-6042,Shoe Machine Operators and Tenders,detail,"3,500",16.2%,0.025,$13.18,$13.23,"$27,530",2.2%
51-6050,"Tailors, Dressmakers, and Sewers",broad,"26,620",6.8%,0.187,$13.42,$14.94,"$31,080",1.7%
51-6051,"Sewers, Hand",detail,"6,190",15.4%,0.043,$12.61,$13.24,"$27,540",1.8%
51-6052,"Tailors, Dressmakers, and Custom Sewers",detail,"20,440",7.5%,0.143,$13.75,$15.46,"$32,150",2.0%
51-6060,"Textile Machine Setters, Operators, and Tenders",broad,"75,810",2.3%,0.532,$13.47,$13.90,"$28,900",0.6%
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detail,"9,800",5.5%,0.069,$13.60,$14.02,"$29,150",1.0%
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detail,"14,150",3.8%,0.099,$12.93,$13.65,"$28,400",0.9%
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detail,"20,920",3.9%,0.147,$13.44,$13.99,"$29,100",0.9%
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detail,"30,940",3.7%,0.217,$13.59,$13.91,"$28,920",0.8%
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"70,810",3.0%,0.497,$15.71,$16.91,"$35,180",0.7%
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detail,"18,880",5.8%,0.132,$16.09,$16.69,"$34,720",1.1%
51-6092,Fabric and Apparel Patternmakers,detail,"4,810",9.7%,0.034,$19.45,$23.89,"$49,690",3.5%
51-6093,Upholsterers,detail,"32,500",3.6%,0.228,$16.18,$16.85,"$35,060",0.8%
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detail,"14,610",8.7%,0.103,$12.82,$15.04,"$31,280",1.9%
51-7000,Woodworkers,minor,"255,070",1.2%,1.789,$14.86,$15.82,"$32,900",0.3%
51-7011,Cabinetmakers and Bench Carpenters,detail,"97,820",1.8%,0.686,$16.31,$17.18,"$35,740",0.5%
51-7021,Furniture Finishers,detail,"17,530",3.1%,0.123,$15.05,$15.95,"$33,170",0.8%
51-7030,"Model Makers and Patternmakers, Wood",broad,"1,630",15.5%,0.011,$24.75,$24.94,"$51,880",3.0%
51-7031,"Model Makers, Wood",detail,850,24.1%,0.006,$24.11,$25.00,"$52,000",4.4%
51-7032,"Patternmakers, Wood",detail,770,18.9%,0.005,$25.18,$24.88,"$51,760",3.5%
51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,"131,600",2.0%,0.923,$13.99,$14.66,"$30,490",0.4%
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detail,"51,950",2.3%,0.364,$13.98,$14.74,"$30,670",0.6%
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detail,"79,650",2.8%,0.559,$14.00,$14.60,"$30,370",0.4%
51-7099,"Woodworkers, All Other",detail,"6,490",4.9%,0.046,$14.75,$16.18,"$33,650",1.6%
51-8000,Plant and System Operators,minor,"298,770",0.9%,2.096,$28.05,$29.18,"$60,700",0.3%
